sgRNA_target	condition	wmean_fitness	p_fitness_adj	p_fitness_condition	p_fitness_condition_2	p_fitness_condition_adj
accD	CO2_4percent	-5.142410613262048	0.009421249262526892	0.22994905679421349	0.42063492063492064	0.009421249262526892
ackA	CO2_30percent	0.23075072776718633	0.9458951075850284	0.51459819165810194	0.6904761904761905	0.9458951075850284
ackA	CO2_4percent	0.134585879840165	1	0.51459819165810194	0.6904761904761905	1
acp	CO2_30percent	-4.256592642057216	0.00872410061899529	0.35439798416825935	0.5476190476190477	0.00872410061899529
acp	CO2_4percent	-5.708114679900608	0.009421249262526892	0.35439798416825935	0.5476190476190477	0.009421249262526892
acs	CO2_30percent	0.4262739080020474	0.2871038646357691	0.08024166929066141	0.2222222222222222	0.2871038646357691
acs	CO2_4percent	0.1824857234984946	0.8914439249771854	0.08024166929066141	0.2222222222222222	0.8914439249771854
act	CO2_30percent	0.3857228319794068	0.7708972345456213	0.9180430114611047	1	0.7708972345456213
act	CO2_4percent	0.44484977519283136	0.7739566832797656	0.9180430114611047	1	0.7739566832797656
adk2	CO2_30percent	-2.9822008985365223	0.21242716088599387	0.22994905679421349	0.42063492063492064	0.21242716088599387
adk2	CO2_4percent	-5.571737437018722	0.009421249262526892	0.22994905679421349	0.42063492063492064	0.009421249262526892
adk	CO2_30percent	0.3876882958742618	0.6326011029152486	0.08024166929066141	0.2222222222222222	0.6326011029152486
adk	CO2_4percent	0.1367318556625255	0.8308475819064807	0.08024166929066141	0.2222222222222222	0.8308475819064807
agp	CO2_30percent	-0.22664395273938706	0.3811252389316491	0.22994905679421349	0.42063492063492064	0.3811252389316491
agp	CO2_4percent	-0.1645541086502369	0.9143550542857183	0.22994905679421349	0.42063492063492064	0.9143550542857183
ahcY	CO2_30percent	-1.7706802645915598	0.016428079366291867	0.7059529851215194	0.8412698412698413	0.016428079366291867
ahcY	CO2_4percent	-1.9290192531262824	0.10024931516783314	0.7059529851215194	0.8412698412698413	0.10024931516783314
alaS	CO2_30percent	-2.9858736587508403	0.012227041170706682	0.51459819165810194	0.6904761904761905	0.012227041170706682
alaS	CO2_4percent	-4.357772137840066	0.009421249262526892	0.51459819165810194	0.6904761904761905	0.009421249262526892
alr	CO2_30percent	-3.806098291497502	0.012227041170706682	0.08024166929066141	0.2222222222222222	0.012227041170706682
alr	CO2_4percent	-2.4782702697456513	0.746352504788104	0.08024166929066141	0.2222222222222222	0.746352504788104
ama2	CO2_30percent	0.4567974408252084	0.34672092298393176	0.14024270215766366	0.30952380952380953	0.34672092298393176
ama2	CO2_4percent	0.15041899264107841	0.9720968262217057	0.14024270215766366	0.30952380952380953	0.9720968262217057
ama	CO2_30percent	0.24661552229787634	0.8927347877322642	0.14024270215766366	0.30952380952380953	0.8927347877322642
ama	CO2_4percent	-1.5388538191606458	0.4245195217857738	0.14024270215766366	0.30952380952380953	0.4245195217857738
amiA2	CO2_30percent	-0.8464124281548348	0.19000563603671725	0.043002747477351014	0.15079365079365079	0.19000563603671725
amiA2	CO2_4percent	0.05884255704670572	1	0.043002747477351014	0.15079365079365079	1
amiA3	CO2_30percent	-4.907916269458227	0.19000563603671725	0.22994905679421349	0.42063492063492064	0.19000563603671725
amiA3	CO2_4percent	-2.8187710187329027	0.4245195217857738	0.22994905679421349	0.42063492063492064	0.4245195217857738
amiA	CO2_30percent	-1.877373384357124	0.48928840640055	0.7059529851215194	0.8412698412698413	0.48928840640055
amiA	CO2_4percent	-0.8272910208834225	0.3557510150935733	0.7059529851215194	0.8412698412698413	0.3557510150935733
amiC	CO2_30percent	0.7946546376149696	0.8624632381404762	0.22994905679421349	0.42063492063492064	0.8624632381404762
