task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
21	23/904aab	340126	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (17_T1)	COMPLETED	0	2024-01-12 08:48:10.424	41.9s	39s	356.0%	740.3 MB	1.1 GB	3.8 GB	3.7 GB
19	6c/9633b1	343371	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (15_T1)	COMPLETED	0	2024-01-12 08:48:52.343	40.1s	38s	356.7%	727.5 MB	1.1 GB	3.6 GB	3.6 GB
22	ce/f3b54f	346397	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (18_T1)	COMPLETED	0	2024-01-12 08:49:32.481	43.4s	34s	353.6%	749.5 MB	1.1 GB	3.3 GB	3.2 GB
18	f3/fd8f31	349457	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (14_T1)	COMPLETED	0	2024-01-12 08:50:15.889	41.2s	38s	359.0%	726 MB	1.2 GB	3.7 GB	3.7 GB
20	c9/d2a435	352687	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (16_T1)	COMPLETED	0	2024-01-12 08:50:57.129	39.3s	36s	355.0%	745.4 MB	1.1 GB	3.6 GB	3.5 GB
17	62/7b20ae	355722	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (13_T1)	COMPLETED	0	2024-01-12 08:51:36.440	45.5s	33s	327.5%	684.9 MB	1.1 GB	3 GB	2.9 GB
16	53/ca8cf2	358635	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (12_T1)	COMPLETED	0	2024-01-12 08:52:21.979	46.5s	43s	227.0%	718.9 MB	1.1 GB	2.7 GB	2.6 GB
23	0a/b8898a	361068	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (19_T1)	COMPLETED	0	2024-01-12 08:53:08.443	36.7s	34s	355.4%	732.8 MB	1.1 GB	3.3 GB	3.2 GB
24	be/7098c5	364106	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (20_T1)	COMPLETED	0	2024-01-12 08:53:45.198	31.7s	29s	350.1%	723.2 MB	1.1 GB	2.8 GB	2.7 GB
29	d6/f8cef5	366932	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (25_T1)	COMPLETED	0	2024-01-12 08:54:16.892	44.9s	43s	276.1%	746 MB	1.1 GB	3.2 GB	3.1 GB
